Name;Unicode point;UTF-8 encoding
LETTRE  y AVEC DOUBLE APOSTROPHE;U+00ff;c3 - bf
LETTRE  y AVEC ROND SUPERIEUR, SIGNE DEGRE;U+0079 - U+030a;79 - cc - 8a
LETTRE  y AVEC TILDE;U+0079 - U+0303;79 - cc - 83
LETTRE  Y AVEC TREMA;U+0178;c5 - b8
LETTRE  y AVEC TREMA;U+00ff;c3 - bf
LETTRE  Z;U+005a;5a
LETTRE  z;U+007a;7a
LETTRE  Z AVEC ACCENT AIGU;U+0179;c5 - b9
LETTRE  z AVEC ACCENT AIGU;U+017a;c5 - ba
LETTRE  z AVEC ACCENT CIRCONFLEXE;U+007a - U+0302;7a - cc - 82
LETTRE  Z AVEC ACCENT EN v;U+017d;c5 - bd
LETTRE  z AVEC ACCENT EN v;U+017e;c5 - be
LETTRE  Z AVEC ACCENT GRAVE;U+005a - U+0300;5a - cc - 80
LETTRE  z AVEC ACCENT GRAVE;U+007a - U+0300;7a - cc - 80
LETTRE  Z AVEC APOSTROPHE;U+005a - U+0315;5a - cc - 95
LETTRE  z AVEC APOSTROPHE;U+007a - U+0315;7a - cc - 95
LETTRE  z AVEC ROND SUPERIEUR;U+007a - U+030a;7a - cc - 8a
LETTRE  z AVEC SIGNE LOSANGE;U+007a - U+030a;7a - cc - 8a
LETTRE  z AVEC TILDE;U+007a - U+0303;7a - cc - 83
LETTRE  z AVEC TREMA;U+007a - U+0308;7a - cc - 88
LETTRE  ae ;U+00e6;c3 - a6
LETTRE  AE ;U+00c6;c3 - 86
LETTRE  ß ;U+00df;c3 - 9f
DIGIT  0;U+0030;30
DIGIT  1;U+0031;31
DIGIT  2;U+0032;32
DIGIT  3;U+0033;33
DIGIT  4;U+0034;34
DIGIT  5;U+0035;35
DIGIT  6;U+0036;36
DIGIT  7;U+0037;37
DIGIT  8;U+0038;38
DIGIT  9;U+0039;39
PONCTUATION APOSTROPHE;U+0027;27
PONCTUATION SYMBOLE NUMERO      ;U+0023;c0 - a3
PONCTUATION ACCENT GRAVE        ;U+0300;cc - 80
PONCTUATION ACCENT AIGU         ;U+0301;cc - 81
PONCTUATION ACCENT CIRCONFLEXE  ;U+0302;cc - 82
PONCTUATION tilde               ;U+0303;cc - 83
PONCTUATION TREMA               ;U+0308;cc - 88
PONCTUATION SIGNE DEGRE         ;U+030a;cc - 8a
PONCTUATION ACCENT EN v         ;U+030c;cc - 8c
PONCTUATION BARRE VERTICALE     ;U+030d;cc - 8d
PONCTUATION 2 BARRE VERTICALE   ;U+030e;cc - 8e
PONCTUATION APOSTROPHE          ;U+0315;cc - 95
PONCTUATION CEDILLE             ;U+0327;cc - a7
PONCTUATION BARRE OBLIQUE       ;U+0338;cc - b8
PONCTUATION (                   ;U+0028;28
PONCTUATION )                   ;U+0029;29
PONCTUATION [                   ;U+005b;5b
PONCTUATION TIRET, SIGNE MOINS;U+002d;2d
PONCTUATION SIGNE PLUS PETIT;U+003c;3c
PONCTUATION ESPACE;U+0020;20
PONCTUATION DIAISE;U+0023;23
PONCTUATION POINT;U+002e;2e
PONCTUATION /;U+002f;2f
PONCTUATION _;U+005f;5f
PONCTUATION :;U+003a;3a
"PONCTUATION """;U+0022;22
